交易对,策略,累计收益率,最大回撤,夏普比率,胜率,交易次数,盈亏比,平均单笔收益,做多次数,做空次数,止盈出场,止损出场,时间出场,买入持有收益,vs买入持有,策略切换次数,参数_bb_length,参数_bb_std,参数_bb_long_threshold,参数_bb_short_threshold,参数_take_profit,参数_stop_loss,参数_time_limit_hours,参数_ma_fast,参数_ma_slow,参数_rsi_period,参数_rsi_oversold,参数_rsi_overbought,参数_macd_fast,参数_macd_slow,参数_macd_signal
BTC,Bollinger,1.8299%,-25.0338%,0.0217,54.6512%,86,1.06,0.0620%,52,34,4,6,76,-18.3734%,20.2033%,0,20.0,1.5,0.15,1.0,0.06,0.06,48,,,,,,,,
BTC,MA_Cross,9.2299%,-4.5418%,0.1722,57.6923%,26,1.50,0.3622%,14,12,8,0,18,-18.3734%,27.6033%,0,,,,,0.03,0.09,48,20.0,200.0,,,,,,
BTC,RSI,-33.7834%,-42.9359%,-0.1622,43.4783%,138,0.68,-0.2832%,101,37,1,49,88,-18.3734%,-15.4100%,0,,,,,0.06,0.02,24,,,7.0,30.0,80.0,,,
BTC,MACD,-1.7272%,-24.8832%,0.0021,48.3871%,186,1.01,0.0034%,89,97,8,4,174,-18.3734%,16.6462%,0,,,,,0.04,0.04,12,,,,,,12.0,26.0,9.0
ETH,Bollinger,-19.9922%,-45.2599%,-0.0277,55.5556%,153,0.93,-0.0911%,74,79,38,20,95,19.1826%,-39.1749%,0,20.0,2.5,0.15,0.85,0.04,0.06,24,,,,,,,,
ETH,MA_Cross,-3.2162%,-18.6217%,-0.0032,45.6522%,46,0.99,-0.0111%,24,22,9,22,15,19.1826%,-22.3989%,0,,,,,0.06,0.03,48,10.0,100.0,,,,,,
ETH,RSI,-8.5684%,-48.5493%,-0.0003,48.3660%,153,1.00,-0.0009%,89,64,20,42,91,19.1826%,-27.7511%,0,,,,,0.06,0.04,24,,,7.0,30.0,75.0,,,
ETH,MACD,-15.6990%,-24.3740%,-0.0266,51.0417%,96,0.94,-0.1026%,44,52,36,18,42,19.1826%,-34.8816%,0,,,,,0.04,0.06,48,,,,,,21.0,26.0,5.0
SOL,Bollinger,16.6443%,-31.5477%,0.0594,55.5556%,90,1.14,0.2936%,65,25,29,26,35,-19.4559%,36.1002%,0,20.0,2.5,0.15,1.0,0.06,0.06,48,,,,,,,,
SOL,MA_Cross,-17.7669%,-26.9626%,-0.1426,44.7368%,38,0.73,-0.4606%,21,17,15,4,19,-19.4559%,1.6890%,0,,,,,0.03,0.06,24,10.0,200.0,,,,,,
SOL,RSI,-8.1360%,-8.1360%,-0.9347,16.6667%,6,0.19,-1.3933%,6,0,1,5,0,-19.4559%,11.3199%,0,,,,,0.02,0.02,48,,,21.0,20.0,80.0,,,
SOL,MACD,-55.8489%,-59.6620%,-0.2107,23.4375%,128,0.62,-0.5974%,66,62,16,98,14,-19.4559%,-36.3930%,0,,,,,0.06,0.02,48,,,,,,21.0,42.0,9.0
