entry_time,exit_time,side,entry_price,exit_price,exit_reason,pnl_pct
2025-07-03 02:00:00,2025-07-03 14:00:00,SHORT,108975.96,109718.57,TL,-0.007414438707399325
2025-07-05 00:00:00,2025-07-05 12:00:00,LONG,107984.25,108148.57,TL,0.0009217033965602113
2025-07-06 06:00:00,2025-07-06 18:00:00,SHORT,108003.36,108463.99,TL,-0.004864959904951148
2025-07-07 07:00:00,2025-07-07 19:00:00,SHORT,108774.5,108056.68,TL,0.005999156971532914
2025-07-08 06:00:00,2025-07-08 18:00:00,LONG,108210.94,109147.56,TL,0.0080555019298418
2025-07-09 03:00:00,2025-07-09 15:00:00,SHORT,108611.53,109071.32,TL,-0.004833344286743849
2025-07-10 09:00:00,2025-07-10 21:00:00,SHORT,111233.34,115682.6736,SL,-0.04059999999999999
2025-07-11 13:00:00,2025-07-12 01:00:00,SHORT,117878.1,117644.81,TL,0.0013790783869099361
2025-07-13 05:00:00,2025-07-13 17:00:00,LONG,117879.22,118699.6,TL,0.006359496338710119
2025-07-14 15:00:00,2025-07-15 03:00:00,SHORT,121158.88,117148.47,TL,0.03250042152915249
2025-07-15 18:00:00,2025-07-16 06:00:00,LONG,117373.0,118276.3,TL,0.007095977780239092
2025-07-17 00:00:00,2025-07-17 12:00:00,SHORT,118630.44,117867.08,TL,0.005834773402172331
2025-07-17 16:00:00,2025-07-18 04:00:00,LONG,118881.99,120403.4,TL,0.012197649164520118
2025-07-18 09:00:00,2025-07-18 21:00:00,SHORT,118642.02,117676.82,TL,0.007535397559819001
2025-07-19 03:00:00,2025-07-19 15:00:00,LONG,118201.04,118058.11,TL,-0.0018092110187862393
2025-07-19 19:00:00,2025-07-20 07:00:00,SHORT,117859.1,118029.49,TL,-0.0020457093257966455
2025-07-20 22:00:00,2025-07-21 10:00:00,SHORT,117997.87,118578.14,TL,-0.005517631140290957
2025-07-21 13:00:00,2025-07-22 01:00:00,SHORT,118172.82,117750.01,TL,0.0029778954923815157
2025-07-22 07:00:00,2025-07-22 19:00:00,LONG,117847.26,119282.1,TL,0.011575420964390782
2025-07-23 03:00:00,2025-07-23 15:00:00,SHORT,119090.73,118567.39,TL,0.0037944646237368478
2025-07-23 23:00:00,2025-07-24 11:00:00,LONG,118568.99,118600.0,TL,-0.00033846450070971535
2025-07-24 23:00:00,2025-07-25 11:00:00,SHORT,118280.0,116543.58,TL,0.014080588434223862
2025-07-25 14:00:00,2025-07-26 02:00:00,LONG,116216.27,117469.0,TL,0.010179299662603144
2025-07-26 22:00:00,2025-07-27 10:00:00,SHORT,118028.56,118184.92,TL,-0.001924764107941337
2025-07-27 16:00:00,2025-07-28 04:00:00,LONG,118585.75,119218.05,TL,0.004732006585951541
2025-07-28 08:00:00,2025-07-28 20:00:00,SHORT,118900.01,118044.93,TL,0.006591588966224661
2025-07-29 04:00:00,2025-07-29 16:00:00,LONG,118764.85,117739.03,TL,-0.009237404080416107
2025-07-30 03:00:00,2025-07-30 15:00:00,LONG,118024.1,118000.01,TL,-0.0008041108553254043
2025-07-30 18:00:00,2025-07-31 06:00:00,SHORT,117802.11,118691.78,TL,-0.00815224163641889
2025-07-31 15:00:00,2025-08-01 03:00:00,SHORT,117913.19,115648.03,TL,0.018610403857278423
2025-08-01 13:00:00,2025-08-02 01:00:00,LONG,115732.48,113674.24,TL,-0.01838446292691551
2025-08-02 03:00:00,2025-08-02 15:00:00,LONG,113702.24,112840.71,TL,-0.008177071480737748
2025-08-02 18:00:00,2025-08-03 06:00:00,SHORT,112724.04,113559.34,TL,-0.008010131858297511
2025-08-04 06:00:00,2025-08-04 18:00:00,SHORT,114391.26,114957.64,TL,-0.005551252394632288
2025-08-04 21:00:00,2025-08-05 09:00:00,SHORT,114811.95,114694.76,TL,0.0004207125651990263
2025-08-06 00:00:00,2025-08-06 12:00:00,LONG,114129.75,113914.31,TL,-0.00248767608796131
2025-08-07 02:00:00,2025-08-07 14:00:00,SHORT,114763.47,116363.16,TL,-0.01453901735456415
