entry_time,exit_time,side,entry_price,exit_price,exit_reason,pnl_pct
2025-07-05 07:00:00,2025-07-07 07:00:00,LONG,2527.33,2578.34,TL,0.019583355557050413
2025-07-08 00:00:00,2025-07-08 17:00:00,SHORT,2542.3,2618.5690000000004,SL,-0.03060000000000009
2025-07-15 09:00:00,2025-07-15 13:00:00,SHORT,2973.99,3063.2097,SL,-0.030600000000000037
2025-07-23 12:00:00,2025-07-25 12:00:00,SHORT,3671.99,3704.45,TL,-0.009439893354829408
2025-07-26 01:00:00,2025-07-28 01:00:00,LONG,3725.52,3849.67,TL,0.03272420709055383
2025-07-29 21:00:00,2025-07-31 06:00:00,SHORT,3765.5,3878.465,SL,-0.030600000000000037
2025-07-31 19:00:00,2025-08-01 18:00:00,SHORT,3775.58,3549.0451999999996,TP,0.05940000000000009
2025-08-04 15:00:00,2025-08-06 15:00:00,LONG,3639.05,3664.69,TL,0.006445794919003551
2025-08-15 19:00:00,2025-08-17 08:00:00,SHORT,4396.55,4528.4465,SL,-0.03059999999999996
2025-08-21 01:00:00,2025-08-22 14:00:00,LONG,4324.1,4583.546,TP,0.059399999999999974
2025-08-25 16:00:00,2025-08-25 20:00:00,SHORT,4612.58,4335.825199999999,TP,0.05940000000000013
2025-08-31 10:00:00,2025-09-01 17:00:00,LONG,4464.6,4330.662,SL,-0.03060000000000002
2025-09-03 17:00:00,2025-09-04 14:00:00,LONG,4467.4,4333.378,SL,-0.03059999999999999
2025-09-05 12:00:00,2025-09-05 14:00:00,LONG,4417.38,4284.8586,SL,-0.03060000000000012
2025-09-05 19:00:00,2025-09-07 19:00:00,SHORT,4312.94,4293.48,TL,0.003912003412985119
2025-09-08 16:00:00,2025-09-10 16:00:00,LONG,4371.64,4385.71,TL,0.0026184717863318363
2025-09-15 12:00:00,2025-09-17 12:00:00,SHORT,4530.66,4502.06,TL,0.005712546074964676
2025-09-18 04:00:00,2025-09-19 15:00:00,LONG,4614.42,4475.9874,SL,-0.03060000000000002
2025-09-28 18:00:00,2025-09-30 18:00:00,LONG,4040.24,4116.53,TL,0.018282541631190218
2025-10-07 22:00:00,2025-10-09 22:00:00,SHORT,4493.47,4377.83,TL,0.025135122299692735
2025-10-13 00:00:00,2025-10-14 06:00:00,LONG,4152.29,4027.7212999999997,SL,-0.030600000000000065
2025-10-14 14:00:00,2025-10-14 15:00:00,SHORT,3956.02,4074.7006,SL,-0.030600000000000037
2025-10-14 17:00:00,2025-10-15 15:00:00,LONG,4096.23,3973.3430999999996,SL,-0.030599999999999995
2025-10-15 20:00:00,2025-10-17 08:00:00,SHORT,3983.21,3744.2174,TP,0.05940000000000001
2025-10-19 15:00:00,2025-10-21 04:00:00,LONG,3989.31,3869.6306999999997,SL,-0.03060000000000006
2025-10-21 10:00:00,2025-10-21 14:00:00,SHORT,3864.42,3980.3526,SL,-0.030600000000000023
2025-10-21 17:00:00,2025-10-21 21:00:00,LONG,4029.19,3908.3143,SL,-0.030600000000000013
2025-10-22 03:00:00,2025-10-24 03:00:00,SHORT,3862.0,3891.0,TL,-0.008109062661833248
2025-10-24 08:00:00,2025-10-26 08:00:00,LONG,3949.22,3960.05,TL,0.002142313672066986
2025-10-29 01:00:00,2025-10-30 17:00:00,SHORT,3972.98,3734.6011999999996,TP,0.0594000000000001
2025-11-02 07:00:00,2025-11-03 03:00:00,LONG,3902.03,3784.9691000000003,SL,-0.030599999999999985
2025-11-08 00:00:00,2025-11-10 00:00:00,LONG,3436.04,3642.2024,TP,0.05940000000000004
2025-11-11 22:00:00,2025-11-12 10:00:00,SHORT,3417.65,3520.1795,SL,-0.030600000000000026
2025-11-24 04:00:00,2025-11-26 04:00:00,LONG,2856.45,2930.87,TL,0.025453317929597954
2025-11-29 18:00:00,2025-12-01 15:00:00,SHORT,2969.98,2791.7812,TP,0.059400000000000036
2025-12-02 21:00:00,2025-12-03 20:00:00,LONG,2979.71,3158.4926,TP,0.059399999999999994
2025-12-06 00:00:00,2025-12-07 17:00:00,SHORT,3021.77,3112.4231,SL,-0.0306
2025-12-08 03:00:00,2025-12-09 16:00:00,LONG,3109.78,3296.3668000000002,TP,0.05940000000000001
2025-12-11 15:00:00,2025-12-11 21:00:00,SHORT,3159.76,3254.5528000000004,SL,-0.03060000000000005
2025-12-12 02:00:00,2025-12-12 15:00:00,LONG,3234.7,3137.6589999999997,SL,-0.030600000000000054
2025-12-15 14:00:00,2025-12-15 14:00:00,LONG,3132.19,3038.2243,SL,-0.03060000000000006
2025-12-19 12:00:00,2025-12-21 12:00:00,LONG,2964.97,2990.62,TL,0.008051015018701738
2025-12-23 09:00:00,2025-12-25 09:00:00,SHORT,2962.13,2928.29,TL,0.010824211631494952
2025-12-26 11:00:00,2025-12-28 11:00:00,LONG,2971.61,2944.09,TL,-0.009860973007898068
2025-12-28 22:00:00,2025-12-29 03:00:00,SHORT,2938.29,3026.4387,SL,-0.030600000000000065
2025-12-29 19:00:00,2025-12-30 14:00:00,SHORT,2919.81,3007.4043,SL,-0.03060000000000007
